circuit_ref,length_km,num_corners,direction,altitude_m,downforce_level
albert_park,5.278,14,clockwise,10,medium
americas,5.513,20,counterclockwise,161,high
bahrain,5.412,15,clockwise,7,medium
baku,6.003,20,counterclockwise,-7,medium
buddh,5.125,16,clockwise,194,medium
catalunya,4.657,14,clockwise,109,medium
fuji,4.563,16,clockwise,583,high
hockenheimring,4.574,17,clockwise,103,medium
hungaroring,4.381,14,clockwise,264,high
imola,4.909,19,counterclockwise,37,medium
indianapolis,4.192,13,clockwise,223,medium
interlagos,4.309,15,counterclockwise,785,medium
istanbul,5.338,14,counterclockwise,130,high
jeddah,6.174,27,counterclockwise,15,medium
losail,5.419,16,clockwise,12,medium
magny_cours,4.411,17,clockwise,228,medium
marina_bay,4.927,19,counterclockwise,18,high
miami,5.412,19,counterclockwise,0,medium
monaco,3.337,19,clockwise,7,high
monza,5.793,11,clockwise,162,low
mugello,5.245,15,clockwise,255,high
nurburgring,5.148,15,clockwise,578,high
portimao,4.653,15,clockwise,108,high
red_bull_ring,4.318,10,clockwise,678,low
ricard,5.842,15,clockwise,432,medium
rodriguez,4.304,17,clockwise,2227,medium
sepang,5.543,15,clockwise,18,high
shanghai,5.451,16,clockwise,5,medium
silverstone,5.891,18,clockwise,153,high
sochi,5.848,18,clockwise,2,medium
spa,7.004,19,clockwise,401,medium
suzuka,5.807,18,clockwise,45,high
valencia,5.419,25,counterclockwise,4,high
vegas,6.201,17,counterclockwise,642,low
villeneuve,4.361,14,clockwise,13,low
yas_marina,5.281,16,counterclockwise,3,medium
yeongam,5.615,18,clockwise,0,medium
madring,5.416,22,clockwise,600,medium
zandvoort,4.259,14,clockwise,6,high
