raceId,max_temp_c,precipitation_mm
1,24.3,0.0
2,28.7,20.3
3,22.2,24.0
4,31.3,0.0
5,21.5,0.3
6,27.0,0.0
7,29.0,0.0
8,15.7,0.0
9,19.2,1.0
10,23.8,0.0
11,33.1,0.0
12,17.8,0.0
13,25.9,0.3
14,29.3,3.1
15,24.9,0.0
16,23.8,24.5
17,35.0,0.0
18,37.3,0.0
19,28.7,14.5
20,24.7,0.0
21,20.1,0.0
22,16.1,0.0
23,20.8,6.8
24,29.1,4.5
25,27.9,0.5
26,18.0,11.8
27,22.5,0.0
28,27.1,0.0
29,30.4,0.0
30,15.4,2.1
31,16.3,10.7
32,28.9,0.0
33,17.5,0.0
34,27.0,0.9
35,27.4,8.8
36,21.4,0.0
37,29.5,3.6
38,25.1,0.0
39,24.9,0.0
40,20.9,3.3
41,24.7,0.4
42,33.1,0.0
43,21.5,4.2
44,17.2,0.0
45,17.2,0.0
46,26.0,0.0
47,33.0,0.0
48,25.0,0.0
49,18.5,0.0
50,14.9,21.1
51,28.1,35.6
52,32.4,2.0
53,20.7,0.0
54,28.3,9.8
55,15.7,0.0
56,23.3,0.0
57,17.2,0.0
58,22.9,0.0
59,23.4,0.0
60,23.9,0.0
61,26.5,0.0
62,32.2,0.0
63,32.9,0.0
64,30.8,0.1
65,18.9,2.8
66,33.0,0.0
67,24.7,0.0
68,24.0,0.5
69,19.8,0.0
70,21.2,0.5
71,18.5,0.0
72,32.3,0.1
73,29.2,0.0
74,19.2,1.6
75,20.3,0.0
76,21.4,0.1
77,21.3,0.0
78,30.2,0.5
79,22.8,0.0
80,28.8,0.0
81,25.0,0.0
82,22.5,2.2
83,33.6,1.5
84,25.9,0.5
85,23.5,2.2
86,17.7,6.3
87,21.1,22.2
88,24.6,0.7
89,22.6,0.0
90,17.9,0.0
91,29.3,5.1
92,27.4,0.0
93,16.2,9.2
94,16.8,0.0
95,18.6,2.4
96,19.6,1.0
97,25.1,0.0
98,22.9,0.0
99,26.7,0.0
100,16.8,0.5
101,25.1,0.0
102,23.6,0.0
103,18.0,0.2
104,22.9,4.2
105,25.9,0.9
106,25.5,1.8
107,26.4,6.8
337,27.6,0.0
338,25.1,4.3
339,29.7,3.2
340,21.1,3.1
341,18.5,0.5
342,19.5,1.4
343,26.5,0.0
344,24.8,0.0
345,30.0,0.0
346,22.1,0.1
347,21.1,0.0
348,27.2,0.2
349,14.6,10.0
350,22.7,0.0
351,28.6,18.9
352,24.3,12.6
353,18.3,27.8
354,23.3,0.1
355,31.7,0.4
841,19.0,0.0
842,27.5,31.2
843,22.3,0.0
844,15.5,0.0
845,25.5,0.0
846,22.6,0.0
847,17.3,23.5
848,31.3,0.0
849,20.0,0.6
850,12.5,7.1
851,17.2,1.9
852,14.6,0.5
853,26.1,0.1
854,28.8,2.6
855,22.5,0.0
856,19.4,0.1
857,29.6,0.0
858,28.2,0.0
859,22.9,14.4
860,21.4,0.0
861,29.2,9.9
862,20.0,0.0
863,25.5,0.0
864,21.9,2.1
865,20.4,3.3
866,25.8,0.0
867,30.1,0.0
868,18.9,13.0
869,19.6,0.0
870,32.3,7.1
871,19.2,0.0
872,26.9,0.0
873,28.2,5.9
874,24.2,0.0
875,22.6,0.0
876,28.0,0.0
877,33.2,0.0
878,22.2,0.0
879,21.7,16.2
880,16.0,0.9
881,29.5,6.3
882,25.7,0.0
883,27.7,0.0
884,17.7,2.3
885,17.1,0.0
886,23.2,0.3
887,21.2,0.0
888,22.7,0.0
890,34.6,0.0
891,17.6,2.7
892,24.1,8.2
893,29.4,1.7
894,25.9,2.7
895,24.0,0.0
896,29.4,0.0
897,35.6,0.0
898,29.0,0.0
899,21.0,9.4
900,20.0,0.7
901,30.6,3.3
902,24.0,0.0
903,17.7,0.0
904,21.3,0.0
905,19.4,0.3
906,27.4,0.0
907,23.3,0.2
908,18.5,0.0
909,27.5,1.6
910,27.0,6.3
911,14.8,0.3
912,24.5,0.0
913,28.8,1.2
914,21.6,18.1
915,23.2,0.0
916,23.3,0.0
917,22.8,1.4
918,30.5,0.0
931,19.4,0.2
932,20.6,0.0
929,26.3,0.0
930,25.9,0.0
928,19.4,0.0
926,18.7,0.3
927,30.5,2.6
933,16.5,2.7
934,20.3,0.5
936,25.7,0.0
937,24.8,10.3
938,22.4,0.0
939,29.0,3.3
940,26.2,1.0
941,18.2,0.4
942,18.7,8.2
943,20.3,7.1
944,25.1,1.2
945,28.7,0.0
948,21.2,0.0
949,22.3,0.0
950,20.9,1.5
951,14.9,0.0
952,19.5,0.0
953,20.7,11.2
954,14.9,1.3
955,27.9,0.0
956,17.4,1.8
957,20.6,1.3
958,27.8,0.1
959,22.9,1.8
960,24.8,0.2
961,27.5,0.0
962,29.1,6.8
963,31.3,0.0
964,22.9,17.0
965,27.6,0.0
966,19.6,1.6
967,18.2,17.0
968,30.4,0.0
969,23.7,0.0
970,13.1,6.9
971,29.3,0.0
972,24.2,0.0
973,23.5,0.1
974,27.0,0.0
975,28.0,0.3
976,28.0,0.0
977,27.8,0.4
978,22.6,1.6
979,29.7,0.0
980,22.6,0.3
981,23.2,0.0
982,29.4,14.5
983,30.3,14.3
984,24.4,0.0
985,25.7,36.9
986,22.9,0.1
987,26.6,0.0
988,25.6,0.0
989,23.4,5.2
990,32.0,0.0
991,18.3,0.0
992,20.2,0.5
993,16.0,23.5
994,28.0,0.4
995,19.8,0.0
996,23.5,0.0
997,19.5,0.0
998,29.0,0.0
999,26.8,2.1
1000,33.4,0.0
1001,17.0,2.3
1002,20.1,2.1
1003,29.3,1.2
1004,23.9,0.0
1005,26.6,0.0
1006,21.1,0.0
1007,20.2,1.0
1008,25.1,1.6
1009,32.8,0.6
1010,25.1,0.0
1011,29.8,0.0
1012,19.0,0.0
1013,17.6,0.0
1014,20.6,0.0
1015,21.5,1.1
1016,26.8,0.0
1017,27.9,0.0
1018,33.8,0.0
1019,20.0,1.2
1020,25.0,11.7
1021,23.3,0.1
1022,17.9,0.2
1023,19.8,70.3
1024,32.9,0.0
1025,20.3,1.4
1026,22.2,0.0
1027,20.9,12.2
1028,19.8,0.0
1029,20.7,0.0
1030,27.8,0.0
1031,26.6,0.0
1032,19.6,0.0
1033,21.6,6.6
1034,21.0,0.0
1035,27.7,0.0
1036,27.6,2.6
1037,17.0,8.0
1038,26.0,4.8
1039,30.1,0.0
1040,29.4,0.0
1041,8.7,0.2
1042,20.1,3.5
1043,18.5,0.0
1044,13.0,0.5
1045,27.9,0.2
1046,26.4,0.0
1047,23.9,0.0
1053,13.0,0.7
1074,28.5,0.0
1052,23.6,0.0
1051,29.0,0.0
1054,19.3,0.0
1055,21.8,1.3
1056,23.1,0.0
1057,24.3,0.0
1058,26.9,4.9
1059,29.0,1.7
1060,23.5,2.0
1061,28.2,0.0
1062,32.3,0.6
1063,14.3,6.8
1064,21.5,0.0
1065,28.7,0.0
1066,17.7,1.6
1067,18.3,0.4
1069,29.9,0.7
1070,23.2,0.0
1071,23.4,0.0
1072,30.7,0.0
1073,25.9,0.0
1075,31.3,0.0
1076,26.5,0.0
1077,15.5,3.3
1078,33.1,2.0
1079,34.8,0.0
1080,25.1,3.4
1081,26.7,0.0
1082,20.9,0.0
1083,19.0,0.9
1084,20.4,3.9
1085,33.2,0.0
1086,21.0,7.9
1087,20.8,0.2
1088,23.9,1.8
1089,25.8,0.0
1091,28.5,17.0
1092,19.9,18.1
1093,30.3,0.6
1094,24.1,0.9
1095,28.1,0.4
1096,30.4,0.0
1098,32.2,0.0
1099,30.6,0.0
1100,17.8,0.0
1101,26.3,0.2
1102,26.9,1.9
1104,24.4,6.9
1105,22.6,10.8
1106,19.6,0.3
1107,24.0,0.3
1108,22.0,0.3
1109,29.0,0.0
1110,17.8,2.5
1111,17.4,3.4
1112,27.9,0.0
1113,30.7,2.7
1114,26.7,0.0
1115,40.6,0.0
1116,31.3,0.2
1117,25.2,0.0
1118,21.1,0.3
1119,17.8,0.0
1120,29.1,0.0
1121,21.2,0.0
1122,29.2,0.0
1123,21.4,0.0
1124,21.3,0.0
1125,20.3,4.6
1126,28.8,0.3
1127,23.7,0.2
1128,20.8,0.0
1129,19.3,4.4
1130,22.1,2.8
1131,29.0,0.0
1132,16.3,2.0
1133,28.5,0.2
1134,19.8,0.0
1135,18.3,5.5
1136,30.8,19.1
1137,26.7,0.0
1138,32.2,0.0
1139,29.4,0.0
1140,20.9,2.4
1141,21.9,17.9
1142,23.0,0.0
1143,23.2,0.0
1144,30.1,0.0
1145,25.0,17.7
1146,27.8,2.6
1147,15.9,16.9
1148,30.3,0.0
1149,35.7,0.0
1150,29.1,2.0
1151,21.8,1.0
1152,22.0,0.0
1153,29.8,0.0
1154,25.8,0.0
1155,31.9,0.0
1156,19.4,12.1
1157,19.1,10.3
1158,25.9,3.1
1159,20.4,3.4
1160,25.4,0.0
1161,19.2,2.2
1162,30.5,1.8
1163,29.5,0.0
1164,27.3,0.0
1165,19.5,1.9
1166,18.2,0.0
1167,27.0,0.0
1168,29.9,0.0
1169,24.8,0.0
1170,18.3,0.8
